ID	PThresh	OR	Pvalue	Beta	SE	CI95_lower	CI95_upper	NAnnotThesh	NAnnot	NThresh	N	linkID	Annotation	GWAS	logpval	SEmin	SEmax
2	1e-09	1.38984337412422	0.17983917131038	0.329191060307507	0.245435947691055	-0.151863397166962	0.810245517781976	36	560	106	2164	1	NEU hCRD	RC	0.745115707312981	1.14440742643316	1.63527932181528
3	0.01	0.903055150653486	0.613733035656792	-0.101971652509345	0.202023277266288	-0.49793727595127	0.29399397093258	57	167	712	2164	2	TCL hCRD	RC	0.212020499141834	0.701031873387198	1.10507842791977
3	0.001	1.28562994072774	0.246196511927021	0.251248824472825	0.216661560161529	-0.173407833443772	0.675905482389422	44	167	424	2164	2	TCL hCRD	RC	0.608718104376182	1.06896838056621	1.50229150088927
3	1e-04	1.34338371653829	0.217950981786982	0.295191592695052	0.239604553492848	-0.174433332150931	0.764816517541034	32	167	288	2164	2	TCL hCRD	RC	0.661641170309026	1.10377916304544	1.58298827003114
3	1e-05	1.5541003519379	0.0869570925134661	0.440896826397097	0.257582511158657	-0.0639648954738714	0.945758548268065	25	167	214	2164	2	TCL hCRD	RC	1.06069498969531	1.29651784077924	1.81168286309656
3	5e-08	1.66782891934926	0.0895741743639686	0.511522732338892	0.301312559107281	-0.079049883511379	1.10209534818916	17	167	130	2164	2	TCL hCRD	RC	1.0478171861853	1.36651636024198	1.96914147845654
3	1e-09	1.17599393228256	0.657506101126258	0.162113689839449	0.365648824422876	-0.554558006029388	0.878785385708285	11	167	106	2164	2	TCL hCRD	RC	0.182100212917028	0.810345107859684	1.54164275670544
1	0.01	1.05374937454047	0.635517330699033	0.0523546367778487	0.110458513987976	-0.164144050638585	0.268853324194282	280	761	846	2246	0	MON hCRD	WBC	0.196872601641318	0.943290860552494	1.16420788852845
1	0.001	1.04523933049425	0.712381345880716	0.0442458835910979	0.120018207472303	-0.190989803054615	0.279481570236811	195	761	587	2246	0	MON hCRD	WBC	0.147287461313144	0.925221123021947	1.16525753796655
1	1e-04	1.02220742860399	0.866308979531284	0.0219644345962219	0.130469895280249	-0.233756560153066	0.27768542934551	147	761	443	2246	0	MON hCRD	WBC	0.06232718399569	0.891737533323741	1.15267732388424
1	1e-05	1.05695998313983	0.699978172329542	0.0553968472687173	0.143757252093536	-0.226367366834614	0.337161061372048	112	761	335	2246	0	MON hCRD	WBC	0.154915502535221	0.913202731046294	1.20071723523337
1	5e-08	1.2791712206623	0.14316773539991	0.246212384365747	0.16816683729061	-0.0833946167238476	0.575819385455342	77	761	207	2246	0	MON hCRD	WBC	0.844154844574163	1.11100438337169	1.44733805795291
1	1e-09	1.3108314725733	0.142210396280325	0.270661647756675	0.184423510098074	-0.0908084320355494	0.6321317275489	63	761	164	2246	0	MON hCRD	WBC	0.847068653380251	1.12640796247523	1.49525498267137
2	0.01	1.44488783909994	0.00150617422664488	0.368031698551765	0.115970603135216	0.140729316406741	0.59533408069679	267	597	846	2246	1	NEU hCRD	WBC	2.82212478823227	1.32891723596472	1.56085844223516
2	0.001	1.63998730901409	5.91090499471298e-05	0.494688503400122	0.123168991344467	0.253277280364967	0.736099726435278	202	597	587	2246	1	NEU hCRD	WBC	4.2283460209596	1.51681831766962	1.76315630035856
2	1e-04	1.94365663469545	4.2385478532903e-07	0.664571062194559	0.131392172842119	0.407042403424005	0.922099720965112	165	597	443	2246	1	NEU hCRD	WBC	6.37278290928558	1.81226446185333	2.07504880753757
2	1e-05	2.43424581103561	4.16331118844052e-10	0.889636980031294	0.142392525479205	0.610547630092051	1.16872632997054	136	597	335	2246	1	NEU hCRD	WBC	9.38056112637683	2.2918532855564	2.57663833651482
2	5e-08	2.43035888439316	9.41636762492741e-08	0.888038935498187	0.166372923473305	0.561948005490509	1.21412986550587	90	597	207	2246	1	NEU hCRD	WBC	7.02611659451883	2.26398596091986	2.59673180786646
2	1e-09	2.47512892544393	6.63388686361294e-07	0.906292485752415	0.182287102476857	0.549009764897775	1.26357520660706	72	597	164	2246	1	NEU hCRD	WBC	6.17823193934768	2.29284182296707	2.65741602792079
3	0.01	1.24625893345744	0.235169222741994	0.22014621053898	0.185441241328094	-0.143318622464085	0.583611043542045	78	180	846	2246	2	TCL hCRD	WBC	0.628619516218054	1.06081769212935	1.43170017478553
3	0.001	1.18634399288357	0.38623382650588	0.170876303110589	0.197210279315969	-0.215655844348711	0.557408450569889	52	180	587	2246	2	TCL hCRD	WBC	0.413149693214522	0.989133713567601	1.38355427219954
3	1e-04	1.18222318445009	0.428058693784642	0.167396720491499	0.211221345212168	-0.246597116124351	0.581390557107348	40	180	443	2246	2	TCL hCRD	WBC	0.368496678091642	0.971001839237922	1.39344452966226
3	1e-05	1.39676745014302	0.136727924613361	0.334160602669462	0.22455715282098	-0.105971416859659	0.774292622198583	33	180	335	2246	2	TCL hCRD	WBC	0.864142778285303	1.17221029732204	1.621324602964
3	5e-08	0.90438134014916	0.731807379647219	-0.100504171089755	0.293252493696825	-0.675279058735532	0.474270716556021	16	180	207	2246	2	TCL hCRD	WBC	0.135603215341477	0.611128846452335	1.19763383384599
3	1e-09	1.10071890077861	0.753412757465771	0.0959635124984055	0.305477579861325	-0.502772544029792	0.694699569026603	14	180	164	2246	2	TCL hCRD	WBC	0.122967030203791	0.795241320917285	1.40619648063993
1	0.01	0.737332211675996	0.0604342728635297	-0.304716726244265	0.162289513498729	-0.622804172701774	0.0133707202132439	84	725	304	2286	0	MON hCRD	cd-meta	1.21871669889319	0.575042698177267	0.899621725174725
1	0.001	0.857668248958914	0.537883847875082	-0.153537910490009	0.249243312168465	-0.642054802340201	0.334978981360182	33	725	110	2286	0	MON hCRD	cd-meta	0.269311496960105	0.608424936790449	1.10691156112738
1	1e-04	0.898667497402534	0.759267289500812	-0.106842171209128	0.348652548947624	-0.790201167146472	0.576516824728216	16	725	55	2286	0	MON hCRD	cd-meta	0.119605309848545	0.55001494845491	1.24732004635016
1	1e-05	0.713679904926634	0.478542258944893	-0.337320729592297	0.476005303327395	-1.27029112411399	0.595649664929397	9	725	34	2286	0	MON hCRD	cd-meta	0.320079704666225	0.237674601599239	1.18968520825403
1	5e-08	0.342833513970643	0.164943503749704	-1.07051033166196	0.77090787722538	-2.58148977102371	0.440469107699781	3	725	19	2286	0	MON hCRD	cd-meta	0.782664784339393	0.1	1.11374139119602
1	1e-09	0.509092654923084	0.39745160817078	-0.675125245749946	0.797849396994235	-2.23891006385865	0.888659572358754	3	725	14	2286	0	MON hCRD	cd-meta	0.400715741432091	0.1	1.30694205191732
2	0.01	1.1299800706044	0.431311021935489	0.122199995935451	0.155283011129214	-0.182154705877809	0.42655469774871	89	614	304	2286	1	NEU hCRD	cd-meta	0.365209443535939	0.974697059475186	1.28526308173361
2	0.001	1.27595042351711	0.299584574335805	0.243691331124782	0.234922912025689	-0.216757576445569	0.704140238695132	35	614	110	2286	1	NEU hCRD	cd-meta	0.523480552298707	1.04102751149142	1.5108733355428
2	1e-04	1.53931288716342	0.176850569794912	0.431336139692278	0.319386208235366	-0.19466082844904	1.0573331078336	20	614	55	2286	1	NEU hCRD	cd-meta	0.752393536593434	1.21992667892805	1.85869909539879
